Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
407;Dean Wade;PF;26;CLE;6;3;24.8;3.5;5.3;0.656;2.5;4;0.625;1;1.3;0.75;0.891;1;1.5;0.667;0.5;3;3.5;1.5;0.2;0.3;0.3;2;10.5
408;Franz Wagner;SF;21;ORL;8;8;33.8;6.4;14.8;0.432;0.9;4.5;0.194;5.5;10.3;0.537;0.462;2.1;2.5;0.85;1.4;2.6;4;4.4;1;0.5;2.9;2;15.8
409;Jabari Walker;SF;20;POR;3;0;4.3;0.7;1;0.667;0;0.3;0;0.7;0.7;1;0.667;0;0;0;0.3;1.3;1.7;1;0;0;0;0;1.3
410;Lonnie Walker IV;SG;24;LAL;6;6;31.3;5.5;13.2;0.418;1.2;5.3;0.219;4.3;7.8;0.553;0.462;2;2.7;0.75;0.8;2.5;3.3;2.5;1.2;1;1.3;1.8;14.2
411;John Wall;PG;32;LAC;5;0;21.6;5.2;10.6;0.491;0.8;3;0.267;4.4;7.6;0.579;0.528;2.6;4.2;0.619;0.4;1.8;2.2;4.6;0.8;0.4;1.8;1.6;13.8
412;Duane Washington Jr.;SG;22;PHO;3;0;1.3;0.3;1.3;0.25;0;0.7;0;0.3;0.7;0.5;0.25;0;0;0;0;0;0;0;0;0;0;0;0.7
413;P.J. Washington;PF;24;CHO;7;7;31.1;6.7;14.3;0.47;2.3;5.7;0.4;4.4;8.6;0.517;0.55;1.4;1.7;0.833;1;3.4;4.4;1.7;0.4;1.3;1.7;3.1;17.1
414;Yuta Watanabe;SF;28;BRK;7;0;15.4;1.7;2.9;0.6;1;1.7;0.583;0.7;1.1;0.625;0.775;0;0.3;0;0.3;1.6;1.9;0.3;0;0.4;0.3;1.1;4.4
415;Lindy Waters III;SG;25;OKC;2;0;8;0.5;3;0.167;0.5;3;0.167;0;0;0;0.25;0;0;0;0.5;0.5;1;0;0;0;0;0;1.5
416;Peyton Watson;SG;20;DEN;4;0;2.3;0.8;1.8;0.429;0;0;0;0.8;1.8;0.429;0.429;0;0;0;0.5;0.3;0.8;0;0;0;0;0.3;1.5
